Modelo,κ_modelos_empirico,κ_modelos_sintetico_media
SVM,0.4647242995159253,0.4571176876225498
NB,0.4861873856918489,0.46187353105079487
RF,0.4377709469645722,0.18428896355000332
LR,0.4986300559304214,0.4726740415308876
