modelo,delta_emp,delta_sint_mean,delta_sint_std,rank_emp,rank_sint,gap_sint_emp,consistente_rank
LR,0.2665699440695785,0.30303386893592715,0.09652932335160193,1,1,0.03646392486634864,True
NB,0.2790126143081511,0.32185491634485713,0.09564526823588627,2,3,0.042842302036706026,False
SVM,0.3004757004840747,0.3166782636497836,0.09741367482145119,3,2,0.016202563165708894,False
RF,0.3274290530354278,0.5155312326241223,0.1979871095008643,4,4,0.18810217958869446,True
