modelo,kappa_inicial,kappa_modelos,delta_kappa,severidade,amplificacao_detectada
SVM,0.7652429609141077,0.4647242995159253,0.3005186613981824,Severa,True
NB,0.7652429609141077,0.4861873856918489,0.2790555752222587,Severa,True
RF,0.7652429609141077,0.4377709469645722,0.3274720139495354,Severa,True
LR,0.7652429609141077,0.4986300559304214,0.2666129049836863,Severa,True
