estudo,cenarios_total,cenarios_amplificados,delta_medio,delta_mediano,taxa_amplificacao
Empírico (MQD-1465),4,4,0.29337182797430805,0.2897441573961129,1.0
Sintético (SynSA),48,48,0.3642745703886725,0.33944180457105194,1.0
