estudo,cenarios_total,cenarios_amplificados,taxa_amplificacao,delta_medio,delta_mediano,faixas_perdidas_media
Empirico (MQD-1465),4,4,1.0,0.29337182797430805,0.2897441573961129,1.0
Sintetico (SynSA),48,48,1.0,0.36427457038867256,0.33944180457105194,1.7291666666666667
