estudo,n_cenarios,n_amplificacao,taxa_amplificacao,delta_medio,delta_mediano
A_empirico_MQD1465,4,4,1.0,0.29341478888841566,0.2897871183102205
B_sintetico_controlado,48,48,1.0,0.36427457038867256,0.33944180457105194
