stopword
a
agora
ainda
algum
ali
antes
ao
aquela
aquele
aqui
aquilo
as
até
bem
com
como
da
dar
das
de
depois
do
dos
e
ela
elas
ele
eles
em
então
essa
esse
esta
estar
este
eu
fazer
foi
há
ir
isso
isto
já
lhe
lá
mais
mal
mas
me
menos
meu
meus
minha
minhas
muito
na
nada
nas
nem
nenhum
no
nos
nossa
nosso
nunca
não
nós
o
onde
os
ou
para
por
quais
qual
quando
que
saber
se
sem
sempre
ser
seu
seus
sim
sob
sobre
sua
suas
só
também
te
ter
todo
tu
tudo
um
uma
ver
você
vocês
vós
à
às
é
