fase,dataset,concordancia_alvo,fonte,cohen_kappa,chi2_stat,p_value,cramers_v
fase3_sintetico,SynSA-99,99,Anotadores,0.9849849398495789,1938.4855743542553,0.0,0.9849939087006097
fase3_sintetico,SynSA-99,99,SVM,0.8697292799035068,1516.616277378818,0.0,0.8712446303394382
fase3_sintetico,SynSA-99,99,NB,0.8909274004076047,1592.0052568958017,0.0,0.8926362237080548
fase3_sintetico,SynSA-99,99,RF,0.3834416242354508,300.2171049330929,9.726868007733291e-64,0.3876323145428207
fase3_sintetico,SynSA-99,99,LR,0.8957944640429341,1607.060453723926,0.0,0.8968470111581944
fase3_sintetico,SynSA-97,97,Anotadores,0.954954954954955,1822.0540540540542,0.0,0.954954954954955
fase3_sintetico,SynSA-97,97,SVM,0.7679686358660293,1180.410720671358,2.810652664365732e-254,0.7686326538029535
fase3_sintetico,SynSA-97,97,NB,0.7967069746839035,1274.8525156774203,9.427669324053878e-275,0.7987892852066001
fase3_sintetico,SynSA-97,97,RF,0.3026422062815852,191.52031439803525,2.497978565776781e-40,0.3096062228254301
fase3_sintetico,SynSA-97,97,LR,0.7951645850790845,1266.3057642728268,6.720337089099962e-273,0.7961071968053163
fase3_sintetico,SynSA-95,95,Anotadores,0.9249246992478943,1709.2929732209004,0.0,0.9249335049607886
fase3_sintetico,SynSA-95,95,SVM,0.6965446901977899,978.7313239534229,1.4511537268905402e-210,0.6998967906014469
fase3_sintetico,SynSA-95,95,NB,0.7118475381077471,1020.9305973625316,1.0388521744675201e-219,0.7148260452419329
fase3_sintetico,SynSA-95,95,RF,0.2364741774171418,115.20060194296283,5.6546662710284856e-24,0.2401207174119131
fase3_sintetico,SynSA-95,95,LR,0.7110354954023792,1014.130024819491,3.093017895618251e-218,0.7124412852963676
fase3_sintetico,SynSA-90,90,Anotadores,0.8498493984957886,1443.072727764764,3.159354669148e-311,0.8498580013772223
fase3_sintetico,SynSA-90,90,SVM,0.5953798369863048,715.0298076786589,1.9398014465701834e-153,0.5982246874009342
fase3_sintetico,SynSA-90,90,NB,0.5970270469268855,715.0300173022514,1.9395987101921056e-153,0.5982247750909839
fase3_sintetico,SynSA-90,90,RF,0.2746397622688245,150.07686602916203,1.959998637833132e-31,0.2740685070582575
fase3_sintetico,SynSA-90,90,LR,0.6106789542058256,752.2282549554881,1.7068001519166412e-161,0.6135883132001781
fase3_sintetico,SynSA-85,85,Anotadores,0.7747747747747747,1199.3513513513515,2.201928273716693e-258,0.7747747747747749
fase3_sintetico,SynSA-85,85,SVM,0.5085593441242076,530.0199862363648,2.1504051501873945e-113,0.5150488019465428
fase3_sintetico,SynSA-85,85,NB,0.5382569250840638,597.6200993012296,5.073299317493633e-128,0.5469087298712869
fase3_sintetico,SynSA-85,85,RF,0.24955239358752138,129.13029351215317,5.9756627374788034e-27,0.25422387089455073
fase3_sintetico,SynSA-85,85,LR,0.5173819169888795,540.3243504798118,1.2684903960479075e-115,0.5200313527545753
fase3_sintetico,SynSA-80,80,Anotadores,0.6996987969915771,978.2008956980799,1.890860554745273e-210,0.699707108643986
fase3_sintetico,SynSA-80,80,SVM,0.43568199280058906,384.0391208743963,7.808467497598214e-82,0.43841963027379094
fase3_sintetico,SynSA-80,80,NB,0.4296427686652022,372.4785612855851,2.4530424691222886e-79,0.4317704324628328
fase3_sintetico,SynSA-80,80,RF,0.19103316754285035,71.27632555134203,1.220327081263157e-14,0.18887518792123886
fase3_sintetico,SynSA-80,80,LR,0.44215542331936214,392.1568769111577,1.3767505892588421e-83,0.4430290206845908
fase3_sintetico,SynSA-75,75,Anotadores,0.6246234962394714,779.5492496160806,2.065178593487546e-167,0.624631723175855
fase3_sintetico,SynSA-75,75,SVM,0.3774563401171312,293.9644239237689,2.170930507281263e-62,0.3835744273321511
fase3_sintetico,SynSA-75,75,NB,0.3776236292972972,288.904532694844,2.6785411295435263e-61,0.38025894231514484
fase3_sintetico,SynSA-75,75,RF,0.12981204271940874,37.33566619501489,1.536100430414518e-07,0.13669864526440842
fase3_sintetico,SynSA-75,75,LR,0.39680782838949236,318.8290882257832,9.383976208724394e-68,0.3994672930680592
fase3_sintetico,SynSA-70,70,Anotadores,0.5495495495495495,603.4054054054054,2.8392088464442477e-129,0.5495495495495496
fase3_sintetico,SynSA-70,70,SVM,0.3338677278612896,225.7461615875635,1.0870885621664011e-47,0.3361340013456574
fase3_sintetico,SynSA-70,70,NB,0.35734676686292605,270.06401243988364,3.09019525619156e-57,0.36765088520678846
fase3_sintetico,SynSA-70,70,RF,0.1975902432636768,80.66755514787238,1.257673943911991e-16,0.20093320214852958
fase3_sintetico,SynSA-70,70,LR,0.3773001687098311,287.57605157847786,5.18067659793869e-61,0.37938365508675503
fase3_sintetico,SynSA-65,65,Anotadores,0.47447289473526,449.81456755084594,4.763629217199707e-96,0.47448120741670535
fase3_sintetico,SynSA-65,65,SVM,0.30253211017479786,190.11325651333013,5.011390183431752e-40,0.3084668216140948
fase3_sintetico,SynSA-65,65,NB,0.2960863523244714,183.15650015255812,1.5652376901852476e-38,0.3027704080591023
fase3_sintetico,SynSA-65,65,RF,0.12312420721361028,32.26301690176689,1.6903261095530461e-06,0.12707342801306037
fase3_sintetico,SynSA-65,65,LR,0.3070358019502565,195.45424432827747,3.565222097164211e-41,0.3127697989116756
fase3_sintetico,SynSA-60,60,Anotadores,0.39939759398315433,318.7315208429838,9.850114810876298e-68,0.3994061663359732
fase3_sintetico,SynSA-60,60,SVM,0.21969458585105794,98.44245579507101,2.110472310220321e-20,0.22196958889886567
