modelo,preservacao,preservacao_pct,amplificacao_bilateral,amplificacao_bilateral_pct,amplificacao_unilateral,amplificacao_unilateral_pct,amplificacao_total,amplificacao_total_pct,resolucao,resolucao_pct,persistencia,persistencia_pct
SVM,710,58.10147299509002,100,8.183306055646481,223,18.248772504091654,323,26.432078559738137,127,10.39279869067103,62,5.073649754500818
NB,680,55.646481178396066,111,9.083469721767594,242,19.803600654664486,353,28.887070376432078,130,10.638297872340425,59,4.828150572831424
RF,716,58.59247135842881,103,8.428805237315876,214,17.51227495908347,317,25.941080196399348,129,10.556464811783961,60,4.909983633387888
LR,719,58.8379705400982,107,8.756137479541735,207,16.939443535188218,314,25.695581014729953,125,10.229132569558102,64,5.237315875613748
