modelo,delta_kappa,delta_bootstrap_mean,ic_95_lower,ic_95_upper,significativo,direcao
SVM,0.2887929749194091,0.28735972895833173,0.24905882231125556,0.3258335749667723,True,AMPLIFICA
NB,0.2983984287334982,0.2997290702714459,0.26255317619597046,0.3364547976211045,True,AMPLIFICA
RF,0.2644833736973423,0.26330120743697394,0.22322167632182602,0.3026872153993406,True,AMPLIFICA
LR,0.2524247216791764,0.2528466169790119,0.21588697760458192,0.28988178415284344,True,AMPLIFICA
