modelo,kappa_mean,kappa_std,concordancia_mean,concordancia_std,acc_masculino_mean,acc_masculino_std,acc_feminino_mean,acc_feminino_std,f1_masculino_mean,f1_feminino_mean
SVM,0.47760417359608337,0.0626167938598683,0.6718601538976247,0.04047732398087509,0.3665941786550686,0.022707273178414453,0.3437303445968552,0.027590124706241167,0.3390084930015381,0.3395062042934548
NB,0.46799871978199425,0.08613626326220027,0.6702408832385414,0.06039769244029105,0.3698962863834058,0.026825981333382175,0.3502810304449649,0.03010501977793116,0.32754423369698593,0.3393964929060724
RF,0.5019137748181501,0.0649751655356897,0.6898862495817999,0.040575993072471166,0.36741385078621613,0.03217693169136298,0.33552358648377384,0.019352869862356657,0.3423067441583353,0.3325436785020225
LR,0.513972426836316,0.06184041473942577,0.6898728671796587,0.04440644936558562,0.35925058548009364,0.03403806158250469,0.34864503178320505,0.02924687123736833,0.33498904183599565,0.34505516656289004
