metrica,valor
Cohen_Kappa,0.7652429609141077
Weighted_Kappa,0.8120769227935896
Concordancia,0.8444995864350703
Chi2,1422.1821740367802
p_value,1.0705336604484386e-306
Cramers_V,0.766918946706578
N_amostras,1209.0
Kappa_IC95_Lower,0.7351948992832459
Kappa_IC95_Upper,0.7961734285636837
