modelo,kappa_inicial,kappa_modelos,delta_kappa,faixa_inicial_lk,faixa_modelo_lk,faixas_perdidas,severidade,amplificacao_detectada
SVM,0.7663971485154925,0.47760417359608337,0.2887929749194091,Substantial,Moderate,1,Leve,True
NB,0.7663971485154925,0.46799871978199425,0.2983984287334982,Substantial,Moderate,1,Leve,True
RF,0.7663971485154925,0.5019137748181501,0.2644833736973423,Substantial,Moderate,1,Leve,True
LR,0.7663971485154925,0.513972426836316,0.2524247216791764,Substantial,Moderate,1,Leve,True
